ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type
2024-05-07 09:00:00,225.5,28,225.5,2,226.0,35,1
2024-05-07 09:00:00,225.5,2,225.0,9,226.0,35,2
2024-05-07 09:00:12,225.0,4,225.0,6,225.5,2,2
2024-05-07 09:00:15,225.5,2,225.0,6,226.0,30,1
2024-05-07 09:00:15,225.0,1,225.0,5,226.0,30,2
2024-05-07 09:00:22,225.5,1,225.0,6,225.5,3,1
2024-05-07 09:00:22,225.5,3,225.5,7,226.0,30,1
2024-05-07 09:00:22,225.5,7,225.0,6,226.0,30,2
2024-05-07 09:00:22,225.0,2,225.0,4,225.5,3,2
2024-05-07 09:00:22,225.0,2,225.0,2,225.5,3,2
2024-05-07 09:00:22,225.0,2,224.5,3,225.5,3,2
2024-05-07 09:00:22,225.0,1,224.5,3,225.5,3,2
2024-05-07 09:00:28,225.0,1,224.5,3,225.0,4,1
2024-05-07 09:00:32,224.5,3,224.0,10,224.5,5,2
2024-05-07 09:00:33,224.5,1,224.0,10,224.5,6,1
2024-05-07 09:00:38,224.5,1,224.0,10,224.5,5,1
2024-05-07 09:00:40,224.5,5,224.0,10,225.0,5,1
2024-05-07 09:00:44,224.5,1,224.5,1,225.0,7,2
2024-05-07 09:00:49,224.5,1,224.0,12,224.5,1,1
2024-05-07 09:00:49,224.5,1,224.0,12,225.0,7,1
2024-05-07 09:00:52,224.5,1,224.0,12,224.5,1,1
2024-05-07 09:00:53,224.5,1,224.0,13,225.5,2,1
2024-05-07 09:00:53,225.0,8,224.0,13,225.5,2,1
2024-05-07 09:00:53,225.5,1,224.0,13,225.5,2,1
2024-05-07 09:01:00,225.0,2,225.0,2,225.5,10,2
2024-05-07 09:01:07,225.0,1,224.5,4,225.5,20,2
2024-05-07 09:01:07,224.5,3,224.0,15,225.5,20,2
2024-05-07 09:01:07,224.0,13,223.5,19,224.5,1,2
2024-05-07 09:01:07,223.5,7,223.5,19,224.5,1,2
2024-05-07 09:01:07,223.5,17,223.0,17,224.0,2,2
2024-05-07 09:01:08,223.5,1,223.0,15,224.0,4,1
