ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type
2024-05-21 09:00:15,255.0,89,254.5,3,255.0,25,1
2024-05-21 09:00:15,254.5,2,254.5,4,255.0,21,2
2024-05-21 09:00:15,254.5,1,254.5,4,255.0,19,2
2024-05-21 09:00:16,254.5,4,254.5,1,255.0,19,2
2024-05-21 09:00:19,254.5,1,254.5,1,255.0,19,2
2024-05-21 09:00:19,254.5,1,254.0,4,255.0,19,2
2024-05-21 09:00:22,254.0,1,254.0,6,255.0,20,2
2024-05-21 09:00:23,254.0,2,254.0,4,255.0,22,2
2024-05-21 09:00:23,255.0,4,254.0,4,255.0,18,1
2024-05-21 09:00:26,254.0,5,253.5,11,254.5,5,2
2024-05-21 09:00:27,254.0,1,253.5,14,254.0,1,1
2024-05-21 09:00:28,254.0,5,254.0,3,254.5,6,2
2024-05-21 09:00:29,254.5,1,254.0,3,254.5,5,1
2024-05-21 09:00:29,254.5,2,254.0,3,254.5,6,1
2024-05-21 09:00:29,254.0,1,254.0,1,254.5,6,2
2024-05-21 09:00:30,254.0,1,253.5,12,254.5,6,2
2024-05-21 09:00:31,254.5,1,254.0,1,254.5,5,1
2024-05-21 09:00:34,254.0,1,254.0,4,254.5,5,2
2024-05-21 09:00:35,254.5,1,254.0,6,254.5,4,1
2024-05-21 09:00:37,254.5,1,254.0,14,254.5,3,1
2024-05-21 09:00:37,254.5,2,254.0,14,254.5,3,1
2024-05-21 09:00:37,254.5,1,254.0,14,255.0,17,1
2024-05-21 09:00:37,255.0,2,254.0,15,255.0,17,1
2024-05-21 09:00:38,255.0,1,254.5,1,255.0,14,1
2024-05-21 09:00:40,254.5,1,254.0,15,255.0,14,2
2024-05-21 09:00:42,255.0,1,254.5,1,255.0,16,1
2024-05-21 09:00:43,254.5,1,0.0,0,0.0,0,2
2024-05-21 09:00:43,254.0,1,0.0,0,0.0,0,2
2024-05-21 09:00:45,254.5,1,254.0,17,255.0,17,2
2024-05-21 09:00:47,254.5,2,254.0,18,255.0,21,1
2024-05-21 09:00:48,254.5,1,254.5,3,255.0,22,2
2024-05-21 09:00:49,255.0,18,254.5,3,255.0,23,1
2024-05-21 09:00:49,255.0,5,254.5,3,255.5,27,1
2024-05-21 09:00:51,255.5,10,255.0,1,255.5,17,1
2024-05-21 09:00:52,255.0,1,255.0,3,255.5,17,2
2024-05-21 09:00:52,255.0,1,254.5,6,255.0,1,1
2024-05-21 09:00:55,255.5,1,255.0,1,255.5,16,1
2024-05-21 09:00:55,255.5,1,255.0,1,255.5,15,1
2024-05-21 09:00:56,255.5,1,255.0,1,255.5,14,1
2024-05-21 09:00:57,255.5,3,255.0,5,255.5,11,1
2024-05-21 09:00:57,255.5,3,255.0,5,255.5,8,1
2024-05-21 09:00:58,255.5,8,255.0,5,256.0,58,1
2024-05-21 09:00:58,256.0,2,255.0,5,256.0,58,1
2024-05-21 09:01:00,256.0,1,255.5,1,256.0,56,1
2024-05-21 09:01:00,255.5,1,255.0,8,255.5,3,2
2024-05-21 09:01:00,255.5,3,255.5,4,256.0,84,1
2024-05-21 09:01:01,256.0,1,255.5,4,256.0,77,1
2024-05-21 09:01:02,256.0,1,255.5,4,256.0,73,1
2024-05-21 09:01:03,255.5,1,255.5,6,256.0,73,2
2024-05-21 09:01:03,255.5,6,255.5,6,256.0,73,2
2024-05-21 09:01:03,256.0,1,255.5,6,256.0,73,1
2024-05-21 09:01:05,255.5,5,255.0,15,255.5,2,1
2024-05-21 09:01:06,255.0,13,255.0,2,256.0,71,2
2024-05-21 09:01:06,255.0,3,254.5,8,255.0,2,2
2024-05-21 09:01:06,255.0,2,254.5,8,256.0,87,1
2024-05-21 09:01:06,255.5,1,254.5,7,255.5,17,1
2024-05-21 09:01:06,255.5,1,254.5,7,255.5,16,1
2024-05-21 09:01:06,255.5,1,254.5,7,255.5,15,1
2024-05-21 09:01:06,255.5,1,254.5,7,255.5,14,1
2024-05-21 09:01:06,255.5,1,254.5,7,255.5,13,1
2024-05-21 09:01:06,255.5,1,254.5,7,255.5,12,1
2024-05-21 09:01:09,255.5,2,255.0,7,256.0,66,1
2024-05-21 09:01:09,256.0,8,255.0,7,256.0,66,1
2024-05-21 09:01:09,256.0,66,255.0,7,256.0,66,1
2024-05-21 09:01:09,256.5,8,255.0,7,256.0,66,1
2024-05-21 09:01:11,255.5,1,255.5,10,256.0,7,2
2024-05-21 09:01:11,256.0,1,255.5,10,256.0,7,1
