ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type
2024-05-29 09:00:11,302.0,86,302.0,3,302.5,2,0
2024-05-29 09:00:11,302.0,3,301.5,12,302.5,2,2
2024-05-29 09:00:11,302.0,1,301.5,9,302.5,2,2
2024-05-29 09:00:11,301.5,3,301.5,9,302.5,2,2
2024-05-29 09:00:11,301.5,9,301.0,19,302.5,2,2
2024-05-29 09:00:14,301.5,1,301.5,1,302.5,2,2
2024-05-29 09:00:17,302.0,1,301.0,18,302.0,1,1
2024-05-29 09:00:19,302.0,1,301.0,19,302.0,1,1
2024-05-29 09:00:20,301.0,1,301.0,18,302.5,2,2
2024-05-29 09:00:23,301.0,5,301.0,13,302.5,2,2
2024-05-29 09:00:27,301.5,1,301.0,15,302.0,2,1
2024-05-29 09:00:32,302.0,1,301.5,1,302.5,3,2
2024-05-29 09:00:34,302.0,1,301.5,1,302.5,3,2
2024-05-29 09:00:41,302.5,2,301.5,17,302.5,2,1
2024-05-29 09:00:49,302.5,1,302.5,7,303.5,5,2
2024-05-29 09:00:53,303.5,6,302.5,13,303.5,6,1
2024-05-29 09:00:54,303.5,1,303.5,4,304.0,17,2
2024-05-29 09:00:58,304.0,2,303.5,4,304.0,15,1
2024-05-29 09:00:58,304.0,1,303.5,4,304.0,14,1
2024-05-29 09:00:59,304.0,13,303.5,9,304.0,1,1
2024-05-29 09:00:59,304.0,1,303.5,9,304.5,31,1
2024-05-29 09:00:59,304.5,3,304.0,3,304.5,28,1
2024-05-29 09:01:02,304.5,1,304.0,11,304.5,27,1
2024-05-29 09:01:02,304.5,1,304.0,11,304.5,26,1
2024-05-29 09:01:04,304.0,11,303.5,14,304.0,1,2
2024-05-29 09:01:04,304.0,1,303.5,14,304.5,26,1
2024-05-29 09:01:05,304.5,1,303.5,14,304.5,25,1
2024-05-29 09:01:06,304.5,1,304.0,1,304.5,25,1
2024-05-29 09:01:06,304.5,1,304.0,2,304.5,24,1
2024-05-29 09:01:07,304.5,1,304.0,3,304.5,23,1
2024-05-29 09:01:07,304.5,1,304.0,3,304.5,22,1
2024-05-29 09:01:09,304.5,1,304.0,4,304.5,22,1
2024-05-29 09:01:09,304.5,1,304.0,4,304.5,21,1
2024-05-29 09:01:10,304.5,1,304.0,5,304.5,20,1
2024-05-29 09:01:10,304.0,4,304.0,1,304.5,20,2
2024-05-29 09:01:12,304.0,1,304.0,1,304.5,20,2
2024-05-29 09:01:13,304.0,1,304.0,1,304.5,20,2
2024-05-29 09:01:14,304.5,2,304.0,7,304.5,19,1
2024-05-29 09:01:15,304.5,3,304.0,7,304.5,16,1
2024-05-29 09:01:17,304.5,1,304.0,14,304.5,15,1
2024-05-29 09:01:18,304.5,1,304.0,15,304.5,14,1
2024-05-29 09:01:18,304.5,2,304.0,15,304.5,12,1
2024-05-29 09:01:19,304.0,1,304.0,16,304.5,12,2
2024-05-29 09:01:22,304.5,4,304.0,16,304.5,9,1
2024-05-29 09:01:24,304.5,1,304.0,18,304.5,8,1
2024-05-29 09:01:25,304.5,1,304.0,22,304.5,7,1
2024-05-29 09:01:26,304.5,1,304.0,22,304.5,6,1
2024-05-29 09:01:26,304.5,3,304.0,23,304.5,3,1
2024-05-29 09:01:26,304.5,1,304.0,23,304.5,2,1
2024-05-29 09:01:26,304.5,1,304.0,23,304.5,1,1
2024-05-29 09:01:27,304.5,1,304.0,24,305.0,12,1
2024-05-29 09:01:29,305.0,1,304.5,4,305.0,11,1
2024-05-29 09:01:31,304.5,1,304.5,7,305.0,12,2
2024-05-29 09:01:34,304.5,5,304.5,18,305.0,12,2
2024-05-29 09:01:36,304.5,1,304.5,16,305.0,12,2
2024-05-29 09:01:36,304.5,4,304.5,11,305.0,12,2
2024-05-29 09:01:36,304.5,11,304.0,35,305.0,12,2
2024-05-29 09:01:36,304.5,1,304.5,15,305.0,12,1
2024-05-29 09:01:36,304.0,2,304.0,32,304.5,2,2
2024-05-29 09:01:36,304.0,31,304.0,1,304.5,4,2
2024-05-29 09:01:36,304.0,1,303.5,10,304.5,4,2
2024-05-29 09:01:36,303.5,10,303.0,5,304.0,2,2
2024-05-29 09:01:36,303.0,1,302.5,10,303.5,2,2
2024-05-29 09:01:37,302.5,1,302.5,3,303.0,4,2
2024-05-29 09:01:37,302.5,2,302.5,1,303.0,4,2
2024-05-29 09:01:37,302.5,1,302.0,15,303.0,4,2
2024-05-29 09:01:37,302.5,1,302.0,14,303.0,6,1
2024-05-29 09:01:37,303.0,2,302.5,2,303.0,4,1
2024-05-29 09:01:38,303.0,1,302.0,14,303.0,4,1
2024-05-29 09:01:42,303.0,1,302.0,13,303.0,6,1
2024-05-29 09:01:44,302.0,1,302.0,16,303.0,5,2
2024-05-29 09:01:44,303.0,3,302.0,16,303.0,5,1
2024-05-29 09:01:48,303.0,1,302.0,13,303.0,7,1
2024-05-29 09:01:49,302.5,1,302.0,14,303.0,6,2
2024-05-29 09:01:49,302.5,1,302.5,1,303.0,7,2
2024-05-29 09:01:50,303.0,5,302.0,14,303.0,2,1
2024-05-29 09:01:55,302.0,15,301.5,15,303.0,4,2
2024-05-29 09:01:55,302.0,2,302.0,2,302.5,7,2
2024-05-29 09:02:01,302.0,1,301.5,15,302.5,7,2
2024-05-29 09:02:02,301.5,1,301.5,15,302.5,2,2
2024-05-29 09:02:02,302.0,1,301.5,15,302.5,3,1
2024-05-29 09:02:03,302.0,1,301.5,15,302.5,4,2
2024-05-29 09:02:09,302.0,1,301.5,17,302.5,3,1
2024-05-29 09:02:10,301.5,1,301.5,16,302.0,1,2
2024-05-29 09:02:17,302.0,1,301.5,17,302.0,1,1
2024-05-29 09:02:17,301.5,1,301.5,16,302.0,1,2
2024-05-29 09:02:18,301.5,5,301.5,10,302.0,1,2
2024-05-29 09:02:18,301.5,3,301.5,10,302.0,1,2
2024-05-29 09:02:18,301.5,7,301.5,10,302.0,1,2
2024-05-29 09:02:18,301.0,17,301.0,17,301.5,1,2
2024-05-29 09:02:20,301.0,1,301.0,2,301.5,1,2
2024-05-29 09:02:21,301.5,1,300.5,17,301.5,1,1
2024-05-29 09:02:23,300.5,2,300.5,15,301.5,6,2
2024-05-29 09:02:27,300.5,5,300.5,7,301.0,5,2
2024-05-29 09:02:27,300.5,2,300.5,7,301.0,5,2
2024-05-29 09:02:27,300.5,3,300.5,5,301.0,5,2
2024-05-29 09:02:29,300.5,1,300.5,3,301.0,5,2
2024-05-29 09:02:32,300.5,1,300.5,4,301.0,5,2
2024-05-29 09:02:36,301.0,1,300.5,5,301.0,4,1
2024-05-29 09:02:37,300.5,1,300.5,4,301.0,4,2
2024-05-29 09:02:38,301.0,4,300.5,5,301.5,10,1
2024-05-29 09:02:38,300.5,1,300.5,9,301.5,9,2
2024-05-29 09:02:40,301.0,1,300.5,6,301.0,1,1
2024-05-29 09:02:44,301.0,1,300.5,11,301.5,10,1
2024-05-29 09:02:45,301.5,1,300.5,15,301.5,9,1
2024-05-29 09:02:45,301.5,9,300.5,15,302.0,13,1
2024-05-29 09:02:46,301.5,1,301.5,6,302.0,11,2
2024-05-29 09:02:47,301.5,1,301.5,4,302.0,11,2
2024-05-29 09:03:01,302.0,1,301.5,6,302.0,9,1
2024-05-29 09:03:05,302.0,2,301.5,8,302.0,7,1
2024-05-29 09:03:06,302.0,1,301.5,9,302.0,6,1
2024-05-29 09:03:07,301.5,2,301.5,7,302.0,6,2
2024-05-29 09:03:12,302.0,1,301.5,6,302.0,5,1
2024-05-29 09:03:13,301.5,3,301.5,5,302.0,5,2
2024-05-29 09:03:20,301.5,1,301.5,12,302.0,5,2
2024-05-29 09:03:28,302.0,1,301.5,8,302.0,7,1
2024-05-29 09:03:34,302.0,1,301.5,8,302.0,5,1
2024-05-29 09:03:36,302.0,1,301.5,9,302.0,4,1
2024-05-29 09:03:37,302.0,2,301.5,9,302.0,3,1
2024-05-29 09:03:40,302.0,1,301.5,11,302.0,2,1
2024-05-29 09:03:48,302.0,1,301.5,12,302.0,1,1
2024-05-29 09:03:49,302.0,1,301.5,12,302.5,9,1
2024-05-29 09:03:52,301.5,2,301.5,10,302.5,20,2
2024-05-29 09:03:52,301.5,3,301.5,7,302.0,1,2
2024-05-29 09:03:52,301.5,7,301.0,26,302.0,2,2
2024-05-29 09:03:52,301.0,3,301.0,18,301.5,1,2
2024-05-29 09:03:52,301.0,2,301.0,16,301.5,1,2
2024-05-29 09:03:52,301.0,16,300.5,13,301.5,4,2
2024-05-29 09:03:52,300.5,13,300.0,24,301.5,3,2
2024-05-29 09:03:54,301.0,1,300.0,24,301.0,6,1
2024-05-29 09:04:03,301.0,1,300.0,25,301.0,3,1
2024-05-29 09:04:08,300.5,1,300.0,26,301.0,4,2
2024-05-29 09:04:14,301.0,1,300.5,13,301.5,4,1
2024-05-29 09:04:14,301.0,3,300.5,13,301.5,4,1
2024-05-29 09:04:26,302.0,4,302.0,6,302.5,12,1
2024-05-29 09:04:26,302.0,6,301.0,3,302.5,12,2
2024-05-29 09:04:34,302.5,1,301.0,6,302.5,17,1
2024-05-29 09:04:38,302.0,1,301.0,8,302.5,18,2
2024-05-29 09:04:40,301.5,1,301.5,1,302.5,17,2
2024-05-29 09:04:40,301.5,1,301.0,7,302.5,17,2
2024-05-29 09:04:41,301.5,1,301.0,4,302.5,17,2
2024-05-29 09:04:45,301.0,1,301.0,4,302.5,19,2
2024-05-29 09:04:45,301.0,4,301.0,4,302.0,11,2
2024-05-29 09:04:48,301.0,1,300.5,15,301.5,11,2
2024-05-29 09:04:48,301.0,1,300.5,15,301.5,11,1
2024-05-29 09:04:49,301.0,1,301.0,1,301.5,12,2
2024-05-29 09:04:52,301.5,1,300.5,15,301.5,10,1
2024-05-29 09:04:52,301.5,10,300.5,16,302.0,13,1
2024-05-29 09:05:02,301.0,1,301.0,4,301.5,2,2
2024-05-29 09:05:04,301.0,1,301.0,3,301.5,2,2
2024-05-29 09:05:06,301.5,1,301.0,4,301.5,1,1
2024-05-29 09:05:06,301.0,1,301.0,3,301.5,1,2
2024-05-29 09:05:09,301.5,1,301.0,13,301.5,1,1
2024-05-29 09:05:17,301.5,1,301.5,1,302.0,2,2
2024-05-29 09:05:22,302.0,2,301.5,8,302.5,14,1
2024-05-29 09:05:31,302.0,1,301.5,18,302.0,1,1
2024-05-29 09:05:32,302.5,1,302.0,2,302.5,10,1
2024-05-29 09:05:34,302.5,1,302.0,8,302.5,9,1
2024-05-29 09:05:34,302.5,9,302.0,8,303.0,14,1
2024-05-29 09:05:40,303.0,13,302.5,6,303.5,5,1
2024-05-29 09:05:45,303.5,4,303.0,8,304.0,17,1
2024-05-29 09:05:54,303.5,1,303.5,7,304.0,14,2
2024-05-29 09:05:54,303.5,7,303.0,15,304.0,14,2
2024-05-29 09:05:54,303.5,1,303.0,6,304.0,24,2
2024-05-29 09:05:55,303.5,6,303.0,6,303.5,14,1
2024-05-29 09:05:57,303.5,1,303.0,6,303.5,13,1
2024-05-29 09:05:58,303.0,1,303.0,5,303.5,13,2
2024-05-29 09:05:58,303.0,1,303.0,5,303.5,13,2
2024-05-29 09:05:59,303.0,1,303.0,4,303.5,13,2
2024-05-29 09:06:01,303.5,1,303.0,4,303.5,12,1
2024-05-29 09:06:04,303.5,1,303.0,5,303.5,13,1
2024-05-29 09:06:09,303.5,1,303.0,7,303.5,13,1
2024-05-29 09:06:10,303.5,2,303.0,7,303.5,11,1
2024-05-29 09:06:13,303.5,1,303.0,8,303.5,2,1
2024-05-29 09:06:16,303.5,1,303.0,8,303.5,3,1
2024-05-29 09:06:16,303.5,12,303.0,8,303.5,12,1
2024-05-29 09:06:16,303.5,3,303.0,8,303.5,12,2
2024-05-29 09:06:30,303.5,1,303.5,1,304.0,15,2
2024-05-29 09:06:32,303.5,3,303.5,1,304.0,15,2
2024-05-29 09:06:34,303.5,1,303.0,9,304.0,15,2
2024-05-29 09:06:41,303.0,1,303.0,12,303.5,2,2
2024-05-29 09:06:44,303.5,2,303.0,11,303.5,2,1
2024-05-29 09:06:45,303.5,1,303.0,11,303.5,2,1
2024-05-29 09:06:46,303.5,1,303.0,13,303.5,1,1
2024-05-29 09:06:51,303.5,1,303.0,12,303.5,2,1
2024-05-29 09:06:53,303.5,1,303.0,12,303.5,1,1
2024-05-29 09:06:53,303.5,1,303.0,12,304.0,16,1
2024-05-29 09:06:54,303.0,1,303.0,12,304.0,15,2
2024-05-29 09:06:56,303.0,1,303.0,10,303.5,1,2
2024-05-29 09:06:56,303.5,1,303.0,10,304.0,15,1
2024-05-29 09:06:57,303.5,1,303.5,1,304.0,15,1
2024-05-29 09:06:57,303.5,1,303.0,11,304.0,15,2
2024-05-29 09:06:59,303.5,1,303.0,11,304.0,16,1
2024-05-29 09:07:02,303.5,1,303.0,11,303.5,3,1
2024-05-29 09:07:03,303.5,3,303.0,8,304.0,15,1
2024-05-29 09:07:03,303.0,1,303.0,7,304.0,15,2
2024-05-29 09:07:09,303.5,1,303.0,7,303.5,7,1
2024-05-29 09:07:11,303.5,1,303.0,8,303.5,6,1
2024-05-29 09:07:12,303.0,8,302.5,6,303.0,2,2
2024-05-29 09:07:14,303.0,1,302.5,4,303.0,2,1
2024-05-29 09:07:16,303.0,1,302.5,4,303.0,4,1
2024-05-29 09:07:24,303.0,1,302.5,4,303.0,4,1
2024-05-29 09:07:26,303.0,1,302.5,6,303.0,5,1
2024-05-29 09:07:36,303.0,3,302.5,7,303.0,3,1
2024-05-29 09:07:38,303.0,1,302.5,7,303.0,2,1
2024-05-29 09:07:41,303.0,1,302.5,8,303.0,6,1
2024-05-29 09:07:45,303.0,3,302.5,8,303.0,3,1
2024-05-29 09:07:46,303.0,1,302.5,9,303.0,2,1
2024-05-29 09:07:48,303.0,2,303.0,8,303.5,10,1
2024-05-29 09:07:50,303.0,1,303.0,8,303.5,9,2
2024-05-29 09:08:07,303.5,1,303.0,12,303.5,10,1
2024-05-29 09:08:15,303.5,1,303.0,14,303.5,8,1
2024-05-29 09:08:18,303.0,11,303.0,3,303.5,8,2
2024-05-29 09:08:19,303.5,1,303.0,5,303.5,7,1
