ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type
2024-05-28 09:00:08,297.0,58,296.5,7,297.0,4,0
2024-05-28 09:00:08,297.0,2,296.5,7,297.0,2,1
2024-05-28 09:00:08,297.0,2,296.5,7,298.0,17,1
2024-05-28 09:00:10,298.0,1,297.5,3,298.0,17,1
2024-05-28 09:00:16,298.0,1,297.5,4,298.0,16,1
2024-05-28 09:00:17,298.0,1,297.5,5,298.0,15,1
2024-05-28 09:00:19,298.0,1,297.5,5,298.0,15,1
2024-05-28 09:00:20,298.0,1,297.5,6,298.0,15,1
2024-05-28 09:00:21,298.0,1,297.5,6,298.0,13,1
2024-05-28 09:00:22,298.0,1,297.5,6,298.0,12,1
2024-05-28 09:00:23,298.0,1,297.5,6,298.0,11,1
2024-05-28 09:00:25,298.0,4,297.5,7,298.0,7,1
2024-05-28 09:00:25,298.0,1,297.5,9,298.0,6,1
2024-05-28 09:00:25,298.0,6,297.5,9,299.0,8,1
2024-05-28 09:00:33,299.0,4,298.5,10,299.5,10,1
2024-05-28 09:00:33,299.5,1,298.5,10,299.5,10,1
2024-05-28 09:00:33,299.5,1,298.5,10,299.5,9,1
2024-05-28 09:00:37,299.5,1,299.0,7,299.5,8,1
2024-05-28 09:00:38,299.5,1,299.0,7,299.5,7,1
2024-05-28 09:00:39,299.5,1,299.0,9,299.5,6,1
2024-05-28 09:00:42,299.5,1,299.0,13,299.5,13,1
2024-05-28 09:00:44,299.5,1,299.0,13,299.5,12,1
2024-05-28 09:00:44,299.5,1,299.0,13,299.5,11,1
2024-05-28 09:00:45,299.5,1,299.0,13,299.5,12,1
2024-05-28 09:00:45,299.5,12,299.5,3,300.0,14,1
2024-05-28 09:00:48,299.5,1,299.5,9,300.0,14,2
2024-05-28 09:00:48,299.5,4,299.5,9,300.0,14,2
2024-05-28 09:00:49,299.5,2,299.5,9,300.0,14,2
2024-05-28 09:00:49,299.5,3,299.0,6,300.0,14,2
2024-05-28 09:00:49,299.5,1,299.0,6,300.0,14,2
2024-05-28 09:00:50,300.0,1,299.0,6,300.0,13,1
2024-05-28 09:00:50,299.5,1,299.0,6,299.5,1,2
2024-05-28 09:00:50,299.5,2,299.0,6,299.5,3,1
2024-05-28 09:00:51,299.0,1,299.0,15,299.5,3,2
2024-05-28 09:00:54,299.5,1,299.0,16,299.5,13,1
2024-05-28 09:00:55,299.5,8,299.0,19,299.5,14,1
2024-05-28 09:00:55,299.5,1,299.0,19,299.5,5,1
2024-05-28 09:00:55,299.5,1,299.0,19,299.5,4,1
2024-05-28 09:00:55,299.5,4,299.5,14,300.0,16,1
2024-05-28 09:00:59,300.0,9,299.5,15,300.0,8,1
2024-05-28 09:01:00,299.5,1,299.5,14,300.0,8,2
2024-05-28 09:01:01,300.0,2,299.5,16,300.0,6,1
