ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type
2024-04-25 09:00:19,199.5,174,199.5,27,200.0,3,2
2024-04-25 09:00:19,199.5,6,199.5,27,200.0,3,2
2024-04-25 09:00:19,199.5,6,199.5,27,200.0,3,2
2024-04-25 09:00:19,200.0,3,199.5,27,200.0,3,1
2024-04-25 09:00:19,199.5,2,199.5,27,200.0,3,2
2024-04-25 09:00:19,199.5,2,199.5,27,200.0,3,2
2024-04-25 09:00:19,199.5,2,199.5,9,200.5,1,2
2024-04-25 09:00:19,199.5,2,199.5,7,200.5,1,2
2024-04-25 09:00:19,199.5,6,199.5,1,200.0,2,2
2024-04-25 09:00:20,199.5,1,199.0,131,199.5,1,2
2024-04-25 09:00:20,199.5,1,199.0,131,200.5,3,1
2024-04-25 09:00:20,199.0,6,199.0,125,199.5,6,2
2024-04-25 09:00:20,199.5,6,199.0,131,200.5,3,1
2024-04-25 09:00:27,199.0,2,199.0,123,200.5,8,2
2024-04-25 09:00:37,199.5,5,199.0,123,200.5,5,2
2024-04-25 09:00:37,199.0,1,199.0,122,200.5,5,2
2024-04-25 09:00:37,199.0,6,199.0,122,200.5,14,2
2024-04-25 09:00:37,199.0,2,199.0,114,200.0,32,2
2024-04-25 09:00:37,199.0,114,198.5,35,199.5,28,2
2024-04-25 09:00:38,198.5,5,198.5,30,199.0,38,2
2024-04-25 09:00:38,198.5,4,198.5,26,199.0,38,2
2024-04-25 09:00:38,198.5,8,198.5,18,199.0,38,2
2024-04-25 09:00:38,198.5,1,198.5,26,199.0,38,2
2024-04-25 09:00:38,198.5,3,198.5,14,199.0,38,2
2024-04-25 09:00:38,198.5,1,198.5,13,199.0,38,2
2024-04-25 09:00:38,198.5,2,198.5,11,199.0,38,2
2024-04-25 09:00:38,198.5,6,198.5,5,199.0,38,2
2024-04-25 09:00:38,198.5,3,198.5,5,199.0,39,2
2024-04-25 09:00:38,198.5,2,198.5,5,199.0,39,2
2024-04-25 09:00:39,198.5,1,198.0,54,198.5,30,1
2024-04-25 09:00:40,198.0,11,198.0,43,198.5,40,2
2024-04-25 09:00:41,198.5,10,198.0,43,198.5,50,1
2024-04-25 09:00:43,198.5,1,198.0,43,198.5,49,1
2024-04-25 09:00:44,198.0,4,198.0,39,198.5,49,2
2024-04-25 09:00:44,198.5,3,198.0,38,198.5,46,1
