ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type
2024-06-07 09:00:16,295.5,56,295.0,75,295.5,8,1
2024-06-07 09:00:17,295.0,4,295.0,71,295.5,4,2
2024-06-07 09:00:19,295.0,1,295.0,72,295.5,5,2
2024-06-07 09:00:21,295.0,1,295.0,71,295.5,5,2
2024-06-07 09:00:23,295.5,2,295.0,71,295.5,3,1
2024-06-07 09:00:23,295.5,3,295.0,71,296.0,12,1
2024-06-07 09:00:23,295.0,3,295.0,69,295.5,2,2
2024-06-07 09:00:23,295.5,2,295.0,69,296.0,12,1
2024-06-07 09:00:29,295.5,3,295.0,70,295.5,6,2
2024-06-07 09:00:29,295.5,6,295.0,70,296.0,12,1
2024-06-07 09:00:31,296.0,1,295.5,1,296.0,11,1
2024-06-07 09:00:33,295.5,1,295.5,1,296.0,12,2
2024-06-07 09:00:33,295.5,1,295.5,1,296.0,12,2
2024-06-07 09:00:33,296.0,3,295.0,72,296.0,9,1
2024-06-07 09:00:34,296.0,1,295.5,1,296.0,8,1
2024-06-07 09:00:35,295.5,1,295.0,72,296.0,8,2
2024-06-07 09:00:36,296.0,1,295.0,73,296.0,7,1
2024-06-07 09:00:37,296.0,7,295.5,22,296.5,10,1
2024-06-07 09:00:38,296.5,2,295.5,23,296.5,8,1
2024-06-07 09:00:40,296.0,1,295.5,24,296.5,8,1
2024-06-07 09:00:41,296.5,2,295.5,24,296.5,6,1
2024-06-07 09:00:43,296.5,6,296.0,1,297.0,18,1
2024-06-07 09:00:43,297.0,1,296.0,7,297.0,17,1
2024-06-07 09:00:47,297.0,1,296.5,2,297.0,16,1
2024-06-07 09:00:48,297.0,1,296.5,4,297.0,15,1
2024-06-07 09:00:48,297.0,1,296.5,4,297.0,14,1
2024-06-07 09:00:49,297.0,1,296.5,5,297.0,13,1
2024-06-07 09:00:49,297.0,1,296.5,5,297.0,12,1
2024-06-07 09:00:49,297.0,1,296.5,6,297.0,13,1
2024-06-07 09:00:50,296.5,1,296.5,5,297.0,12,2
2024-06-07 09:00:50,297.0,1,296.5,5,297.0,11,1
2024-06-07 09:00:50,297.0,1,296.5,5,297.0,10,1
2024-06-07 09:00:50,297.0,1,296.5,5,297.0,9,1
2024-06-07 09:00:51,297.0,1,296.5,9,297.0,8,1
2024-06-07 09:00:51,297.0,1,296.5,10,297.0,7,1
2024-06-07 09:00:52,297.0,1,296.5,10,297.0,6,1
2024-06-07 09:00:52,297.0,1,296.5,10,297.0,5,1
2024-06-07 09:00:53,297.0,1,296.5,10,297.0,4,1
2024-06-07 09:00:53,297.0,4,296.5,10,298.0,16,1
2024-06-07 09:00:53,297.5,12,296.5,10,298.0,16,1
2024-06-07 09:00:53,298.0,4,296.5,10,298.0,16,1
2024-06-07 09:00:54,297.5,1,297.5,3,298.0,16,1
2024-06-07 09:00:57,297.5,1,297.5,5,298.0,16,2
2024-06-07 09:00:58,298.0,1,297.5,6,298.0,15,1
2024-06-07 09:00:58,298.0,5,297.5,7,298.0,10,1
2024-06-07 09:00:59,298.0,1,297.5,7,298.0,9,1
