ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type
2024-05-17 09:00:08,242.5,107,242.5,17,243.0,35,2
2024-05-17 09:00:09,243.0,3,242.5,17,243.0,21,1
2024-05-17 09:00:13,243.0,3,242.5,24,243.0,17,1
2024-05-17 09:00:14,243.0,2,242.5,24,243.0,15,1
2024-05-17 09:00:15,242.5,3,242.5,22,243.0,15,2
2024-05-17 09:00:15,243.0,2,242.5,22,243.0,13,1
2024-05-17 09:00:15,243.0,2,242.5,22,243.0,11,1
2024-05-17 09:00:15,243.0,2,242.5,22,243.0,9,1
2024-05-17 09:00:15,243.0,2,242.5,22,243.0,7,1
2024-05-17 09:00:15,243.0,6,242.5,22,243.0,7,1
2024-05-17 09:00:15,243.0,1,242.5,23,243.5,1,1
2024-05-17 09:00:16,243.0,1,242.5,23,243.5,1,2
2024-05-17 09:00:17,243.0,1,243.0,19,243.5,3,1
2024-05-17 09:00:18,243.5,1,243.0,22,244.0,1,1
2024-05-17 09:00:18,244.0,2,243.0,22,244.0,1,1
2024-05-17 09:00:20,243.0,24,242.5,25,244.0,62,2
2024-05-17 09:00:21,243.5,2,242.5,24,243.5,18,1
2024-05-17 09:00:22,243.0,1,242.5,25,243.5,9,2
2024-05-17 09:00:24,243.5,9,243.5,41,244.0,63,1
2024-05-17 09:00:24,243.5,41,243.0,3,244.0,63,2
2024-05-17 09:00:25,243.5,2,243.5,2,244.0,63,1
2024-05-17 09:00:25,243.5,2,243.5,2,244.0,63,2
2024-05-17 09:00:25,242.5,20,242.5,6,243.0,4,2
2024-05-17 09:00:27,243.0,1,242.5,8,243.0,3,1
2024-05-17 09:00:27,243.0,1,242.5,9,243.0,2,1
2024-05-17 09:00:27,243.0,1,242.5,9,243.0,1,1
2024-05-17 09:00:28,243.0,1,243.0,9,243.5,5,1
2024-05-17 09:00:32,243.0,1,243.0,12,243.5,7,2
2024-05-17 09:00:34,243.0,9,243.0,18,243.5,8,2
2024-05-17 09:00:34,243.0,8,243.0,3,243.5,8,2
2024-05-17 09:00:36,243.5,1,243.0,5,243.5,4,1
2024-05-17 09:00:37,243.0,1,243.0,4,243.5,4,2
2024-05-17 09:00:39,243.5,4,243.5,46,244.0,1,1
2024-05-17 09:00:40,243.5,1,243.5,47,244.0,2,2
2024-05-17 09:00:47,244.0,1,243.5,52,244.0,65,1
2024-05-17 09:00:47,244.0,3,243.5,52,244.0,62,1
2024-05-17 09:00:48,244.0,1,243.5,54,244.0,61,1
2024-05-17 09:00:50,244.0,45,243.5,10,244.0,16,1
2024-05-17 09:00:50,244.0,12,243.5,10,244.0,16,1
2024-05-17 09:00:50,244.0,3,243.5,10,244.0,16,1
2024-05-17 09:00:50,244.0,1,243.5,13,244.5,4,1
2024-05-17 09:00:50,244.5,4,243.5,13,244.5,4,1
2024-05-17 09:00:51,245.0,10,244.0,64,245.0,14,1
2024-05-17 09:00:51,245.0,14,244.0,66,245.5,17,1
2024-05-17 09:00:51,245.5,2,244.5,3,245.5,17,1
2024-05-17 09:00:51,245.5,1,244.5,10,245.5,13,1
2024-05-17 09:00:54,245.5,1,244.5,10,245.5,12,1
2024-05-17 09:00:55,245.5,1,244.5,12,245.5,12,1
2024-05-17 09:00:55,245.5,2,244.5,15,245.5,11,1
2024-05-17 09:00:55,245.5,9,244.5,15,245.5,11,1
2024-05-17 09:00:56,245.5,1,245.0,11,246.0,23,1
2024-05-17 09:00:58,246.0,2,245.5,4,246.0,22,1
2024-05-17 09:00:58,245.5,1,245.5,3,246.0,22,2
2024-05-17 09:00:59,245.5,1,245.5,2,246.0,22,2
2024-05-17 09:01:01,246.0,5,245.5,10,246.0,17,1
2024-05-17 09:01:01,246.0,17,245.5,10,246.5,5,1
2024-05-17 09:01:01,246.0,1,246.0,8,246.5,5,2
2024-05-17 09:01:01,246.0,1,246.0,6,246.5,5,2
2024-05-17 09:01:01,246.0,1,246.0,6,246.5,5,2
2024-05-17 09:01:02,246.5,5,246.0,2,247.0,10,1
2024-05-17 09:01:07,247.0,1,246.0,7,247.0,6,1
2024-05-17 09:01:07,247.0,4,246.0,7,247.0,2,1
2024-05-17 09:01:08,246.5,1,246.0,7,247.0,2,2
2024-05-17 09:01:08,246.5,4,246.5,1,247.0,8,2
2024-05-17 09:01:08,246.5,1,246.0,6,247.0,8,2
2024-05-17 09:01:08,246.5,1,0.0,0,0.0,0,1
