ts,close,volume,bid_price,bid_volume,ask_price,ask_volume,tick_type
2024-04-09 13:30:00,212.0,285,211.5,122,212.0,54,2
2024-04-10 09:00:16,214.0,24,213.5,7,214.0,11,1
2024-04-10 09:00:16,213.5,6,213.5,1,214.0,11,2
2024-04-10 09:00:16,214.0,2,213.5,6,214.0,7,1
2024-04-10 09:00:16,214.0,2,213.5,6,214.0,7,1
2024-04-10 09:00:16,213.5,1,213.5,6,214.0,7,2
2024-04-10 09:00:17,214.0,2,214.0,2,214.5,4,1
2024-04-10 09:00:32,214.0,2,212.5,6,214.0,4,2
2024-04-10 09:00:32,214.0,1,213.0,10,214.0,5,1
2024-04-10 09:00:33,214.0,2,213.5,1,214.0,3,1
2024-04-10 09:00:36,214.0,5,213.5,2,214.0,1,1
2024-04-10 09:00:37,214.0,1,213.5,2,214.0,1,1
2024-04-10 09:00:39,214.0,1,213.5,4,214.0,1,1
2024-04-10 09:00:40,214.0,1,214.0,1,214.5,12,1
2024-04-10 09:00:43,214.0,1,214.0,1,214.5,16,2
2024-04-10 09:00:48,214.0,1,213.5,10,214.0,1,2
2024-04-10 09:00:52,214.0,1,214.0,1,214.5,15,1
2024-04-10 09:00:57,214.0,1,213.5,9,214.0,1,2
2024-04-10 09:01:04,214.0,1,213.5,10,214.5,15,1
2024-04-10 09:01:11,214.0,1,213.5,10,214.0,1,1
2024-04-10 09:01:11,214.0,1,213.5,10,214.0,1,1
2024-04-10 09:01:12,214.0,3,213.5,18,214.5,15,1
2024-04-10 09:01:15,214.5,9,214.0,1,214.5,15,1
2024-04-10 09:01:15,214.5,6,214.0,1,214.5,15,1
2024-04-10 09:01:27,214.5,1,214.0,12,215.0,25,2
2024-04-10 09:01:29,215.0,1,214.0,12,215.0,23,1
2024-04-10 09:01:35,215.0,16,214.5,5,215.0,24,1
2024-04-10 09:01:35,215.0,8,214.5,6,215.5,20,1
2024-04-10 09:01:41,215.0,1,215.0,4,215.5,20,2
2024-04-10 09:01:44,215.0,1,214.0,19,215.5,21,2
2024-04-10 09:01:44,214.5,5,214.0,19,215.5,21,2
2024-04-10 09:01:44,214.0,2,214.0,19,215.5,21,2
2024-04-10 09:01:46,215.0,1,214.0,10,215.0,11,1
2024-04-10 09:01:48,215.0,6,214.0,10,215.0,6,1
2024-04-10 09:01:52,215.0,6,215.0,4,215.5,20,1
2024-04-10 09:02:10,215.0,3,215.0,4,215.5,24,2
2024-04-10 09:02:13,215.0,1,215.0,4,215.5,29,2
2024-04-10 09:02:20,215.0,4,214.5,11,215.5,30,2
2024-04-10 09:02:27,214.5,3,214.5,6,215.0,12,2
2024-04-10 09:02:27,214.5,1,214.5,5,215.0,14,2
2024-04-10 09:02:27,214.5,5,214.0,24,215.0,13,2
2024-04-10 09:02:27,214.0,2,214.0,14,214.5,12,2
2024-04-10 09:02:27,214.0,6,214.0,8,214.5,11,2
2024-04-10 09:02:27,214.0,8,213.5,14,214.5,11,2
2024-04-10 09:02:30,213.5,3,213.5,1,214.0,11,2
2024-04-10 09:02:30,213.5,1,213.0,4,213.5,2,2
2024-04-10 09:02:47,213.5,1,213.0,7,213.5,8,1
2024-04-10 09:02:55,213.5,1,213.0,6,213.5,12,1
2024-04-10 09:02:58,213.0,2,213.0,4,213.5,12,2
2024-04-10 09:03:07,213.5,1,213.0,8,213.5,11,1
2024-04-10 09:03:07,213.0,4,213.0,4,213.5,11,2
2024-04-10 09:03:11,213.0,1,213.0,3,213.5,12,2
2024-04-10 09:03:11,213.0,3,212.5,5,213.5,9,2
2024-04-10 09:03:21,213.0,1,213.0,3,213.5,9,2
2024-04-10 09:03:25,213.0,3,212.5,4,213.5,14,2
2024-04-10 09:03:28,212.5,1,212.5,3,213.0,4,2
2024-04-10 09:03:35,213.0,1,212.5,3,213.0,3,1
2024-04-10 09:03:36,212.5,3,212.0,12,213.0,3,2
2024-04-10 09:03:43,212.5,2,212.0,14,212.5,5,1
2024-04-10 09:03:44,212.5,1,212.0,14,212.5,4,1
2024-04-10 09:03:46,212.0,1,212.0,13,212.5,4,2
2024-04-10 09:03:55,212.5,1,212.0,13,212.5,4,1
2024-04-10 09:04:02,212.5,2,212.0,13,212.5,3,1
2024-04-10 09:04:04,212.5,1,212.0,14,212.5,2,1
2024-04-10 09:04:20,212.0,4,212.0,14,212.5,2,2
2024-04-10 09:04:20,212.0,3,212.0,11,212.5,2,2
2024-04-10 09:04:20,212.0,2,212.0,9,212.5,2,2
2024-04-10 09:04:20,212.0,1,212.0,8,212.5,3,2
2024-04-10 09:04:20,212.0,2,212.0,6,212.5,3,2
2024-04-10 09:04:20,212.0,3,212.0,3,212.5,3,2
2024-04-10 09:04:20,212.0,2,212.0,1,212.5,3,2
2024-04-10 09:04:20,212.0,1,211.5,8,212.5,3,2
2024-04-10 09:04:25,212.0,1,211.5,9,212.5,9,1
2024-04-10 09:04:45,212.5,5,212.0,9,212.5,2,1
2024-04-10 09:04:45,212.5,2,212.0,9,212.5,2,1
2024-04-10 09:04:48,213.0,1,212.0,9,213.0,8,1
2024-04-10 09:05:05,212.5,1,212.5,1,213.0,10,2
2024-04-10 09:05:05,212.5,1,212.0,16,213.0,10,2
2024-04-10 09:05:34,212.5,4,212.0,25,213.0,7,2
2024-04-10 09:05:49,212.5,1,212.0,24,212.5,7,1
2024-04-10 09:05:58,212.0,1,212.0,23,212.5,9,2
2024-04-10 09:07:37,212.0,1,212.0,27,212.5,11,2
2024-04-10 09:07:42,212.5,2,212.0,27,212.5,6,1
2024-04-10 09:07:49,212.5,3,212.0,27,212.5,1,1
2024-04-10 09:07:51,212.5,1,212.0,27,212.5,10,1
2024-04-10 09:07:52,212.5,5,212.0,27,212.5,5,1
2024-04-10 09:07:55,212.5,1,212.0,28,212.5,4,1
2024-04-10 09:07:57,212.5,1,212.0,28,212.5,3,1
2024-04-10 09:07:58,212.5,1,212.0,29,212.5,2,1
2024-04-10 09:07:59,212.5,1,212.0,29,212.5,1,1
2024-04-10 09:08:04,212.5,1,212.0,29,213.0,10,1
2024-04-10 09:08:17,212.5,1,212.5,3,213.0,9,2
2024-04-10 09:08:24,212.5,2,212.5,1,213.0,9,2
2024-04-10 09:08:24,212.5,1,212.0,29,213.0,9,2
2024-04-10 09:08:28,212.5,1,212.0,28,213.0,11,2
2024-04-10 09:08:52,212.0,2,212.0,21,212.5,6,2
2024-04-10 09:08:52,212.0,4,212.0,21,212.5,6,2
2024-04-10 09:08:52,212.0,5,212.0,21,212.5,6,2
2024-04-10 09:08:54,212.0,4,212.0,12,212.5,9,2
2024-04-10 09:08:54,212.0,2,212.0,12,212.5,9,2
2024-04-10 09:08:54,212.0,10,212.0,10,212.5,9,2
